                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                0.35294,                0.25324,                0.82761,                0.97285,                0.98926,                 0.9917,                0.94589,                0.36345,                0.20565,                0.78921,               0.004555,               0.004555,               0.004555
                     57,                0.35838,                 0.2516,                0.82816,                0.98043,                0.98891,                0.99116,                0.94611,                0.36124,                0.20069,                0.78882,               0.004456,               0.004456,               0.004456
                     58,                0.35177,                0.24994,                0.82924,                0.98099,                0.99131,                0.99304,                0.94815,                 0.3599,                0.19619,                 0.7883,               0.004357,               0.004357,               0.004357
                     59,                0.35099,                0.25243,                 0.8289,                0.98156,                0.98714,                0.99017,                0.94591,                  0.362,                0.19588,                0.78689,               0.004258,               0.004258,               0.004258
                     60,                 0.3535,                0.25018,                0.82835,                0.97504,                0.97848,                0.98762,                0.93908,                0.36879,                0.20405,                0.78989,               0.004159,               0.004159,               0.004159
                     61,                0.35103,                0.24461,                0.83015,                0.97592,                0.98964,                0.98989,                0.94568,                0.35916,                0.19533,                0.78607,                0.00406,                0.00406,                0.00406
                     62,                0.34926,                0.24076,                0.82788,                0.97686,                0.98541,                0.98992,                0.94594,                0.35772,                0.19648,                0.78644,               0.003961,               0.003961,               0.003961
                     63,                0.34914,                 0.2425,                0.82836,                0.98237,                0.98589,                0.99263,                0.94937,                 0.3581,                0.19176,                0.78473,               0.003862,               0.003862,               0.003862
                     64,                0.34772,                0.24218,                0.82554,                0.97654,                0.99242,                  0.992,                0.94817,                0.35888,                0.19298,                0.78544,               0.003763,               0.003763,               0.003763
                     65,                0.34604,                0.24006,                0.82502,                0.98352,                 0.9885,                0.99287,                0.94983,                0.35674,                0.18936,                0.78574,               0.003664,               0.003664,               0.003664
                     66,                0.34126,                0.23542,                0.82479,                0.98211,                0.99077,                0.99212,                0.94952,                0.35747,                0.19081,                0.78655,               0.003565,               0.003565,               0.003565
                     67,                0.34179,                0.23205,                0.82399,                0.97937,                0.99068,                0.99212,                0.94723,                0.35731,                0.19127,                0.78578,               0.003466,               0.003466,               0.003466
                     68,                0.34437,                0.23575,                0.82692,                0.98194,                0.98185,                0.99136,                0.94688,                0.35765,                0.19638,                0.78759,               0.003367,               0.003367,               0.003367
                     69,                0.34034,                0.23032,                0.82485,                0.96125,                 0.9348,                0.96819,                 0.9155,                0.36905,                0.26792,                 0.7896,               0.003268,               0.003268,               0.003268
                     70,                0.33979,                0.23249,                0.82572,                0.98007,                0.98674,                0.98962,                0.94594,                0.35919,                0.19534,                0.78846,               0.003169,               0.003169,               0.003169
                     71,                  0.338,                0.23038,                0.82461,                0.97911,                0.98189,                0.98919,                0.94399,                0.35764,                0.19476,                0.78865,                0.00307,                0.00307,                0.00307
                     72,                0.33527,                0.22495,                0.82595,                0.98346,                0.98922,                0.99114,                0.94821,                0.35872,                0.18966,                0.78814,               0.002971,               0.002971,               0.002971
                     73,                0.33623,                0.22386,                0.82276,                0.98582,                0.98936,                0.99125,                0.94987,                0.35327,                0.18561,                0.78463,               0.002872,               0.002872,               0.002872
                     74,                0.33275,                0.22543,                0.82577,                0.98282,                0.99074,                0.99173,                0.94724,                0.35792,                0.18646,                0.78735,               0.002773,               0.002773,               0.002773
                     75,                0.33593,                0.22459,                0.82403,                0.97984,                0.99107,                0.99244,                0.94938,                0.35623,                0.18667,                0.78665,               0.002674,               0.002674,               0.002674
                     76,                0.33218,                0.22204,                0.82342,                0.98403,                0.98734,                0.99046,                0.94827,                0.35351,                0.19569,                0.78729,               0.002575,               0.002575,               0.002575
                     77,                0.33134,                0.22244,                0.82346,                0.98361,                0.98555,                0.99099,                0.94829,                0.35522,                0.19491,                0.78843,               0.002476,               0.002476,               0.002476
                     78,                0.33335,                0.21982,                0.82378,                0.98079,                0.98961,                 0.9888,                0.94739,                0.35228,                0.18814,                0.78963,               0.002377,               0.002377,               0.002377
